airport,lat,long
MHK,39.140998840332,-96.6707992553711
EUG,44.1245994567871,-123.21199798584
MFR,42.3741989135742,-122.873001098633
SEA,47.4490013122559,-122.30899810791
PDX,45.58869934,-122.5979996
LMT,42.1561012268066,-121.733001708984
SFO,37.6189994812012,-122.375
LAX,33.94250107,-118.4079971
EAT,47.3988990784,-120.207000732
YKM,46.56819916,-120.5439987
EKO,40.8249015808105,-115.791999816895
SLE,44.90950012,-123.0029984
GEG,47.6198997497559,-117.533996582031
RDD,40.50899887,-122.2929993
LWS,46.3745002746582,-117.014999389648
AST,46.158000946,-123.878997803
CLM,48.1202011108398,-123.5
PDT,45.695098877,-118.841003418
SJC,37.3625984191895,-121.929000854492
ACV,40.978099822998,-124.109001159668
PUW,46.7439,-117.110001
SMF,38.6954002380371,-121.591003417969
FLL,26.0725994110107,-80.152702331543
PHX,33.4342994689941,-112.012001037598
BFI,47.5299987792969,-122.302001953125
GGG,32.3839988708496,-94.7115020751953
GTF,47.48199844,-111.3710022
FAT,36.7761993408203,-119.718002319336
TUS,32.1161003112793,-110.94100189209
MWH,47.20769882,-119.3199997
BIL,45.8077011108398,-108.542999267578
DFW,32.896800994873,-97.0380020141602
SLC,40.7883987426758,-111.977996826172
CPR,42.90800095,-106.4639969
RDM,44.2541008,-121.1500015
RNO,39.4990997314453,-119.767997741699
FBK,64.83750153,-147.6139984
ANC,61.1744003295898,-149.996002197266
BIF,31.84950066,-106.3799973
CIC,39.79539871,-121.8580017
SAF,35.617099762,-106.088996887
ABQ,35.0401992797852,-106.609001159668
FSM,35.3366012573242,-94.3674011230469
LAS,36.08010101,-115.1520004
ICT,37.6498985290527,-97.4330978393555
AZA,33.30780029,-111.6549988
DLH,46.8420982361,-92.1936035156
CEC,41.78020096,-124.2369995
OKC,35.3931007385254,-97.600700378418
SAN,32.7336006165,-117.190002441
STS,38.50899887,-122.8130035
DRO,37.1515007019,-107.753997803
OAK,37.7212982177734,-122.221000671387
IAH,29.9843997955322,-95.3414001464844
ELP,31.80719948,-106.3779984
DBQ,42.40200043,-90.70950317
HLN,46.6068000793457,-111.983001708984
TUL,36.1983985900879,-95.8880996704102
OMA,41.3031997680664,-95.8940963745117
ACT,31.6112995147705,-97.2304992675781
BTM,45.9547996520996,-112.497001647949
AUS,30.1944999694824,-97.6698989868164
PIA,40.6641998291,-89.6932983398
CWA,44.7775993347,-89.6668014526
PUB,38.2891006469727,-104.497001647949
FOE,38.9509010315,-95.6635971069
COS,38.805801391602,-104.70099639893
GJT,39.1223983765,-108.527000427
LBF,41.12620163,-100.6839981
SPS,33.98880005,-98.49189758
CYS,41.15570068,-104.8119965
ABR,45.4491004943848,-98.4217987060547
BRD,46.39830017,-94.13809967
AMA,35.2193984985352,-101.706001281738
ROW,33.3016014099121,-104.53099822998
BIS,46.7727012634277,-100.746002197266
MSO,46.91630173,-114.0910034
GCC,44.3488998413,-105.539001465
LBB,33.6636009216309,-101.822998046875
LBL,37.0442009,-100.9599991
MAF,31.9424991607666,-102.202003479004
MSN,43.1399002075195,-89.3375015258789
LNK,40.851001739502,-96.7592010498047
ALO,42.5570983886719,-92.4002990722656
RFD,42.1954002380371,-89.0971984863281
GRB,44.4850997924805,-88.1296005249023
LSE,43.879002,-91.256699
FCA,48.3105010986328,-114.255996704102
MKE,42.9472007751465,-87.896598815918
BLI,48.7928009033203,-122.53800201416
FOD,42.55149841,-94.19259644
DSM,41.5340003967285,-93.6631011962891
EAU,44.8657989501953,-91.4842987060547
MCW,43.1577987671,-93.3312988281
RAP,44.0452995300293,-103.056999206543
LIT,34.7294006348,-92.2242965698
